
2024/11/02 (01:20:23) | ===> btop++ v.1.3.2
2024/11/02 (01:20:23) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/09 (11:50:46) | ===> btop++ v.1.3.2
2024/12/09 (11:50:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/02 (21:18:21) | ===> btop++ v.1.4.0
2025/01/02 (21:18:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/02 (21:56:32) | ===> btop++ v.1.4.0
2025/01/02 (21:56:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/02 (21:58:31) | ===> btop++ v.1.4.0
2025/01/02 (21:58:31) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2025/01/02 (21:58:49) | ===> btop++ v.1.4.0
2025/01/02 (21:58:49) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
